Player,Salary,Year
Stephen Curry,"$37,457,154",2018
Russell Westbrook,"$35,665,000",2018
LeBron James,"$35,654,150",2018
Chris Paul,"$35,654,150",2018
Kyle Lowry,"$32,700,000",2018
Blake Griffin,"$31,873,932",2018
Gordon Hayward,"$31,214,295",2018
James Harden,"$30,570,000",2018
Paul George,"$30,560,700",2018
Mike Conley,"$30,521,115",2018
Kevin Durant,"$30,000,000",2018
Paul Millsap,"$29,230,769",2018
Al Horford,"$28,928,710",2018
Damian Lillard,"$27,977,689",2018
DeMar DeRozan,"$27,739,975",2018
Chris Bosh,"$26,837,720",2018
Jrue Holiday,"$26,641,111",2018
Otto Porter,"$26,011,913",2018
CJ McCollum,"$25,759,766",2018
Joel Embiid,"$25,467,250",2018
Andrew Wiggins,"$25,467,250",2018
Nikola Jokic,"$25,467,250",2018
Anthony Davis,"$25,434,263",2018
Bradley Beal,"$25,434,262",2018
Andre Drummond,"$25,434,262",2018
Hassan Whiteside,"$24,434,262",2018
Dwight Howard,"$24,256,725",2018
Steven Adams,"$24,157,304",2018
Giannis Antetokounmpo,"$24,157,304",2018
Marc Gasol,"$24,119,025",2018
Kevin Love,"$24,119,025",2018
Harrison Barnes,"$24,107,258",2018
Chandler Parsons,"$24,107,258",2018
Nicolas Batum,"$24,000,000",2018
Rudy Gobert,"$23,491,573",2018
Kawhi Leonard,"$23,114,066",2018
DeAndre Jordan,"$22,897,200",2018
LaMarcus Aldridge,"$22,347,015",2018
Serge Ibaka,"$21,666,667",2018
Aaron Gordon,"$21,590,909",2018
Danilo Gallinari,"$21,587,579",2018
Victor Oladipo,"$21,000,000",2018
Ryan Anderson,"$20,421,546",2018
Joakim Noah,"$20,261,172",2018
Kyrie Irving,"$20,099,189",2018
Jabari Parker,"$20,000,000",2018
Jimmy Butler,"$19,841,627",2018
Zach LaVine,"$19,500,000",2018
Wesley Matthews,"$19,360,228",2018
Allen Crabbe,"$19,332,500",2018
Enes Kanter,"$19,264,603",2018
Tyler Johnson,"$19,245,370",2018
John Wall,"$19,169,800",2018
Jeff Teague,"$19,000,000",2018
George Hill,"$19,000,000",2018
Klay Thompson,"$18,988,725",2018
Goran Dragic,"$18,109,175",2018
Kent Bazemore,"$18,089,888",2018
Evan Turner,"$17,868,853",2018
Draymond Green,"$17,469,565",2018
Tristan Thompson,"$17,469,565",2018
Tim Hardaway Jr,"$17,325,000",2018
Pau Gasol,"$17,133,285",2018
Reggie Jackson,"$17,043,478",2018
Evan Fournier,"$17,000,000",2018
Bismack Biyombo,"$17,000,000",2018
Derrick Favors,"$16,900,000",2018
Luol Deng,"$16,747,954",2018
Jonas Valanciunas,"$16,539,326",2018
Gary Harris,"$16,517,857",2018
Ian Mahinmi,"$16,000,000",2018
Timofey Mozgov,"$16,000,000",2018
Andre Iguodala,"$16,000,000",2018
Clint Capela,"$15,793,104",2018
Dennis Schroeder,"$15,500,000",2018
DeMarre Carroll,"$15,400,000",2018
Gorgui Dieng,"$15,170,787",2018
Trevor Ariza,"$15,000,000",2018
Eric Bledsoe,"$15,000,000",2018
Ricky Rubio,"$14,800,000",2018
Tobias Harris,"$14,800,000",2018
JR Smith,"$14,720,000",2018
Brandon Knight,"$14,631,250",2018
James Johnson,"$14,420,700",2018
Robin Lopez,"$14,357,750",2018
Kenneth Faried,"$14,242,782",2018
Marvin Williams,"$14,087,500",2018
Taj Gibson,"$14,000,000",2018
Thaddeus Young,"$13,764,045",2018
Tyson Chandler,"$13,585,000",2018
Marcin Gortat,"$13,565,218",2018
Kelly Olynyk,"$13,537,527",2018
Cody Zeller,"$13,528,090",2018
Eric Gordon,"$13,500,375",2018
Austin Rivers,"$13,155,324",2018
Khris Middleton,"$13,000,000",2018
Michael Kidd-Gilchrist,"$13,000,000",2018
Mason Plumlee,"$12,917,808",2018
Wilson Chandler,"$12,800,562",2018
Solomon Hill,"$12,763,467",2018
Nikola Vucevic,"$12,750,000",2018
Dion Waiters,"$12,705,000",2018
Joe Ingles,"$12,545,455",2018
Jeremy Lin,"$12,516,746",2018
Nikola Mirotic,"$12,500,000",2018
Jordan Clarkson,"$12,500,000",2018
Tyreke Evans,"$12,400,000",2018
Miles Plumlee,"$12,400,000",2018
Courtney Lee,"$12,253,780",2018
JJ Redick,"$12,250,000",2018
Avery Bradley,"$12,000,000",2018
Kentavious Caldwell-Pope,"$12,000,000",2018
Kemba Walker,"$12,000,000",2018
Will Barton,"$11,830,358",2018
TJ Warren,"$11,750,000",2018
Zach Randolph,"$11,692,308",2018
Patrick Mills,"$11,571,429",2018
Alec Burks,"$11,536,515",2018
Omer Asik,"$11,286,516",2018
Marcus Smart,"$11,160,716",2018
Jusuf Nurkic,"$11,111,111",2018
Iman Shumpert,"$11,011,234",2018
Moe Harkless,"$10,837,079",2018
